"","geoid","pop2010"
"1349","27069",4552
"1350","27071",13311
"1351","27073",7259
"1352","27075",10866
"1353","27077",4045
"1354","27079",27703
"1355","27081",5896
"1356","27083",25857
"1357","27085",36651
"1358","27087",5413
"1359","27089",9439
"1360","27091",20840
"1361","27093",23300
"1362","27095",26097
"1363","27097",33198
"1364","27099",39163
"1365","27101",8725
"1366","27103",32727
"1367","27105",21378
"1368","27107",6852
"1369","27109",144248
"1370","27111",57303
"1371","27113",13930
"1372","27115",29750
"1373","27117",9596
"1374","27119",31600
"1375","27121",10995
"1376","27123",508640
"1377","27125",4089
"1378","27127",16059
"1379","27129",15730
"1380","27131",64142
"1381","27133",9687
"1382","27135",15629
"1383","27137",200226
"1384","27139",129928
"1385","27141",88499
"1386","27143",15226
"1387","27145",150642
"1388","27147",36576
"1389","27149",9726
"1390","27151",9783
"1391","27153",24895
"1392","27155",3558
"1393","27157",21676
"1394","27159",13843
"1395","27161",19136
"1396","27163",238136
"1397","27165",11211
"1398","27167",6576
"1399","27169",51461
"1400","27171",124700
"1401","27173",10438
"1402","28001",32297
"1403","28003",37057
"1404","28005",13131
"1405","28007",19564
"1406","28009",8729
"1407","28011",34145
"1408","28013",14962
"1409","28015",10597
"1410","28017",17392
"1411","28019",8547
"1412","28021",9604
"1413","28023",16732
"1414","28025",20634
"1415","28027",26151
"1416","28029",29449
"1417","28031",19568
"1418","28033",161252
"1419","28035",74934
"1420","28037",8118
"1421","28039",22578
"1422","28041",14400
"1423","28043",21906
"1424","28045",43929
"1425","28047",187105
"1426","28049",245285
"1427","28051",19198
"1428","28053",9375
"1429","28055",1406
"1430","28057",23401
"1431","28059",139668
"1432","28061",17062
"1433","28063",7726
"1434","28065",12487
"1435","28067",67761
"1436","28069",10456
"1437","28071",47351
"1438","28073",55658
"1439","28075",80261
"1440","28077",12929
"1441","28079",23805
"1442","28081",82910
"1443","28083",32317
"1444","28085",34869
"1445","28087",59779
"1446","28089",95203
"1447","28091",27088
"1448","28093",37144
"1449","28095",36989
"1450","28097",10925
"1451","28099",29676
"1452","28101",21720
"1453","28103",11545
"1454","28105",47671
"1455","28107",34707
"1456","28109",55834
"1457","28111",12250
"1458","28113",40404
"1459","28115",29957
"1460","28117",25276
"1461","28119",8223
"1462","28121",141617
"1463","28123",28264
"1464","28125",4916
"1465","28127",27503
"1466","28129",16491
"1467","28131",17786
"1468","28133",29450
